,song_id,lyrics,text
0,2,"DecodingResult(audio_features=tensor([[-0.6818,  0.0450,  0.9028,  ..., -0.1549,  1.2163,  0.2615],
        [-0.3539,  0.4131,  0.9591,  ...,  0.0708,  1.0924,  0.2470],
        [ 0.1251,  0.9869,  1.1138,  ...,  0.1541,  0.5203,  0.5685],
        ...,
        [-0.3486,  1.4296, -0.4289,  ..., -0.8038, -0.5302,  0.2762],
        [ 0.0935,  0.3374,  0.1755,  ..., -1.3506, -0.4598, -0.3457],
        [-1.0596,  1.2448, -0.0164,  ...,  0.2776, -0.6882, -0.7988]]), language='en', language_probs=None, tokens=[50364, 1664, 380, 915, 641, 1855, 281, 652, 445, 3892, 50764, 50764, 9210, 2279, 281, 385, 337, 452, 4440, 51114, 51114, 407, 286, 536, 452, 643, 293, 1352, 428, 993, 51264, 51264, 400, 562, 309, 311, 565, 309, 311, 5692, 4678, 538, 51464, 51464, 3664, 385, 18009, 11, 854, 385, 293, 4225, 51814, 51814], text=""Can't find their friends to make just mine Probably sent to me for my tonight So I see my need and found your life And when it's time it's slowly passed by Take me lover, help me and paint"", avg_logprob=-0.8495857932350852, no_speech_prob=0.4314453899860382, temperature=0.0, compression_ratio=1.3333333333333333)","Can't find their friends to make just mine Probably sent to me for my tonight So I see my need and found your life And when it's time it's slowly passed by Take me lover, help me and paint"
1,3,"DecodingResult(audio_features=tensor([[-0.5704, -0.1351,  0.7946,  ..., -0.1442,  1.1092,  0.2652],
        [-0.1802,  0.4886,  0.9549,  ...,  0.2980,  0.8849,  0.1513],
        [-0.2676,  1.4002,  0.8311,  ..., -0.0368,  0.7257,  0.0360],
        ...,
        [ 0.6215, -1.0229, -0.6634,  ..., -0.1429,  1.1305,  1.3437],
        [-0.4202,  0.0605, -0.2755,  ...,  0.2335,  0.6126,  0.7600],
        [-0.7873,  0.6563,  0.0455,  ..., -0.1563,  0.3479,  0.0976]]), language='en', language_probs=None, tokens=[50364, 7609, 50664], text='Music', avg_logprob=-1.5689871311187744, no_speech_prob=0.4768819510936737, temperature=0.0, compression_ratio=0.38461538461538464)",Music
2,4,"DecodingResult(audio_features=tensor([[-0.4866, -0.1135,  0.8717,  ..., -0.0133,  0.9643,  0.3937],
        [-0.3745,  0.4410,  1.0757,  ...,  0.3951,  0.6278,  0.3525],
        [-0.1223,  0.9868,  1.3671,  ...,  0.1992,  0.5164,  0.2102],
        ...,
        [ 0.9952, -0.1569, -0.2110,  ...,  0.1772,  0.5026,  0.4313],
        [ 0.1024,  0.3540, -0.2862,  ...,  0.3596,  0.1937,  0.4162],
        [-0.9159,  0.8487,  0.1197,  ...,  0.1176, -0.4061,  0.1190]]), language='en', language_probs=None, tokens=[50364, 7609, 50464], text='Music', avg_logprob=-1.6359570026397705, no_speech_prob=0.2528264820575714, temperature=0.0, compression_ratio=0.38461538461538464)",Music
3,5,"DecodingResult(audio_features=tensor([[-0.5512,  0.2443,  0.2811,  ..., -0.5777,  1.0153,  0.5103],
        [-0.1116,  0.1745,  0.3185,  ..., -0.2340,  0.8183,  0.5301],
        [ 1.1948,  0.1055,  0.1225,  ..., -0.9238,  0.9566, -0.2787],
        ...,
        [ 0.0365, -2.3268,  0.0276,  ...,  0.5829,  1.5084, -0.7567],
        [ 0.4007, -0.9444, -0.4295,  ...,  0.7752,  1.1234, -0.8178],
        [-0.9513,  1.2211, -0.0702,  ...,  0.4597, -0.6717, -0.6456]]), language='en', language_probs=None, tokens=[50364, 286, 13416, 281, 1856, 452, 2135, 11, 286, 13416, 281, 1856, 452, 2135, 11, 50838, 50838, 639, 300, 286, 2817, 4676, 322, 1901, 11, 1133, 286, 13416, 281, 1856, 452, 2135, 13, 51328, 51328], text='I ought to leave my main, I ought to leave my main, This that I sleep heavy on space, When I ought to leave my main.', avg_logprob=-0.5242802831861708, no_speech_prob=0.24585285782814026, temperature=0.0, compression_ratio=1.5263157894736843)","I ought to leave my main, I ought to leave my main, This that I sleep heavy on space, When I ought to leave my main."
4,7,"DecodingResult(audio_features=tensor([[-0.5190,  0.0142,  0.5056,  ..., -0.3224,  0.9881,  0.5525],
        [-0.2883,  0.6462,  1.0413,  ...,  0.2101,  0.6428,  0.3308],
        [-0.0946,  1.4020,  0.6742,  ..., -0.1376,  0.3429,  0.9134],
        ...,
        [-0.4325,  0.0317,  0.2046,  ...,  0.2942,  0.0970,  1.4387],
        [-0.7153, -0.2324, -0.2820,  ..., -0.0865,  0.5810,  1.3476],
        [-0.8519,  0.6312,  0.0990,  ..., -0.0149,  0.0574,  0.3915]]), language='en', language_probs=None, tokens=[50364, 7609, 50464], text='Music', avg_logprob=-1.52262282371521, no_speech_prob=0.38697147369384766, temperature=0.0, compression_ratio=0.38461538461538464)",Music
5,8,"DecodingResult(audio_features=tensor([[-0.7513,  0.2217,  0.3588,  ..., -0.4341,  0.8667,  0.3154],
        [-0.5449,  0.7548,  1.5363,  ...,  0.3946,  0.5322,  0.2228],
        [-0.0878,  1.0845,  1.1925,  ...,  0.0840,  0.1436, -0.1624],
        ...,
        [ 0.4767, -0.7091,  0.4683,  ..., -0.6780,  0.8598,  0.4318],
        [-0.2410, -0.2669,  0.0270,  ..., -0.5144,  0.5945,  1.1264],
        [-1.0724,  0.7866, -0.0637,  ...,  0.0163, -0.2530,  0.3628]]), language='en', language_probs=None, tokens=[50364, 7609, 50464], text='Music', avg_logprob=-1.7305238246917725, no_speech_prob=0.4275612533092499, temperature=0.0, compression_ratio=0.38461538461538464)",Music
6,10,"DecodingResult(audio_features=tensor([[-0.7115, -0.0600,  0.5722,  ..., -0.2931,  1.2096,  0.4541],
        [-0.4734,  0.4450,  0.8614,  ...,  0.4486,  0.5534,  0.3064],
        [-0.1218,  1.2391,  1.0694,  ...,  0.0849,  0.1393,  0.1769],
        ...,
        [-0.2205, -0.3198, -0.5345,  ...,  0.1479,  0.1109,  1.2967],
        [-0.6136, -0.2813, -0.2297,  ...,  0.1801,  0.3477,  0.6306],
        [-0.8909,  0.6359, -0.0286,  ...,  0.0520, -0.1860,  0.2565]]), language='en', language_probs=None, tokens=[50364, 7609, 50464], text='Music', avg_logprob=-1.555583119392395, no_speech_prob=0.44262582063674927, temperature=0.0, compression_ratio=0.38461538461538464)",Music
7,12,"DecodingResult(audio_features=tensor([[-1.0206, -0.1312,  0.0090,  ..., -0.4860,  1.0672,  0.1273],
        [-0.5104,  0.4474,  0.8067,  ...,  0.1657,  0.5021,  0.1631],
        [-0.2542,  1.0006,  0.9485,  ...,  0.3164,  0.2384,  0.1727],
        ...,
        [ 0.2507, -0.4696, -0.6843,  ..., -0.2059,  0.3761,  1.2792],
        [-0.4660, -0.0112, -0.5787,  ..., -0.0205,  0.6496,  0.7563],
        [-1.0168,  0.8207, -0.1765,  ...,  0.1378, -0.0297,  0.2643]]), language='en', language_probs=None, tokens=[50364, 7609, 50464], text='Music', avg_logprob=-1.4771066904067993, no_speech_prob=0.43767881393432617, temperature=0.0, compression_ratio=0.38461538461538464)",Music
8,13,"DecodingResult(audio_features=tensor([[-0.6676,  0.1443,  0.6314,  ..., -0.2574,  1.4158,  0.0797],
        [-0.3927,  0.6044,  0.7054,  ..., -0.0274,  1.2847,  0.0030],
        [-0.3836,  1.0008,  0.9226,  ..., -0.3901,  0.7728,  0.5395],
        ...,
        [-0.1954,  0.4899, -0.4544,  ..., -0.0907, -0.1428,  0.0495],
        [-0.0160,  0.8447, -0.0593,  ..., -0.0327, -0.1925, -0.5438],
        [-0.7963,  1.0191, -0.1021,  ...,  0.3080, -0.3142, -0.8140]]), language='en', language_probs=None, tokens=[50364, 823, 437, 360, 286, 360, 30, 50714, 50714, 634, 307, 12386, 411, 257, 262, 30846, 445, 257, 3456, 420, 732, 13, 51264, 51264, 634, 3719, 264, 18890, 1851, 11, 2136, 11, 420, 1180, 16423, 385, 13, 51814, 51814], text='Now what do I do? He is dressed like a sifter just a minute or two. He starts the ethical face, record, or polishes me.', avg_logprob=-0.6686244010925293, no_speech_prob=0.33124643564224243, temperature=0.0, compression_ratio=1.1782178217821782)","Now what do I do? He is dressed like a sifter just a minute or two. He starts the ethical face, record, or polishes me."
9,17,"DecodingResult(audio_features=tensor([[-0.4950,  0.1259,  0.8114,  ..., -0.1802,  0.7916,  0.5584],
        [-0.2027,  0.5518,  1.0938,  ...,  0.1913,  0.3881,  0.4121],
        [ 0.1869,  0.9367,  0.9693,  ..., -0.6205,  0.2297,  0.2873],
        ...,
        [ 0.0965,  0.2611,  0.2192,  ...,  0.1117,  0.1056, -0.2707],
        [-0.2816, -0.3274,  0.1009,  ...,  0.3064,  0.4112,  0.7709],
        [-0.7547,  0.4630,  0.0691,  ...,  0.1431,  0.0143,  0.2233]]), language='en', language_probs=None, tokens=[50364, 7609, 50664, 50664, 7609, 50964, 50964], text='Music Music', avg_logprob=-1.3311408758163452, no_speech_prob=0.24325835704803467, temperature=0.0, compression_ratio=0.6875)",Music Music
