,id,name,preview_url,artist,duration,popularity,release_date,valence,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo
0,4qbEaaJ29p32GI8EWQmm6R,dumb dumb,,4adSXA1GDOxNG7Zw89YHyz,125256.0,76.0,2021-08-25,0.589,0.783,0.472,2,-8.392,1,0.0427,0.22,0.000458,0.0798,122.052
1,2gvmxusSOe3vNjNDjQWaso,My Alcoholic Friends,https://p.scdn.co/mp3-preview/3fe2637a3df4c31f0ba0d2229f71e820b6b99eb7?cid=02b0e243b26741fa8d571a7f61aa4518,5JqX1glXPg6428ubI1w72i,167680.0,72.0,2006-03-29,0.746,0.596,0.679,4,-3.881,0,0.0324,0.18,0.0,0.0938,110.464
2,05U9HuyMUW4NllNlBCRMrN,Basics in Behavior - Blue Version,https://p.scdn.co/mp3-preview/97a782881a1ad4df28ade631a7c0bdefbff3ad9f?cid=02b0e243b26741fa8d571a7f61aa4518,0I6yADrmeyvw66g7yjkqIF,237751.0,59.0,2018-07-05,0.355,0.323,0.796,0,-3.266,0,0.0337,0.178,0.0,0.14,103.851
3,0Fs9cdPDhptWEDJmiCbkEW,She Knows (feat. Amber Coffman & Cults),,6l3HvQ5sa6mXTsMTB19rO5,296520.0,82.0,2013-06-18,0.183,0.766,0.74,1,-10.363,1,0.0807,0.0193,0.0784,0.229,118.008
4,74NJyJ0j5wvG1e5jpUh68o,dessous,https://p.scdn.co/mp3-preview/9c52197004f036473a079663220a09dfb20cef75?cid=02b0e243b26741fa8d571a7f61aa4518,63Zfzws3zct6H4L21p9WBT,127894.0,57.0,2022-05-20,0.717,0.68,0.759,8,-6.992,1,0.116,0.365,0.0,0.279,152.102
5,1taGkdO3DQsNRIQrarhVvc,Puttin' on the Ritz,https://p.scdn.co/mp3-preview/1f2c82b59c850d07d6eb18c57fde862793f9d4ae?cid=02b0e243b26741fa8d571a7f61aa4518,6Dxf1ZaJBrpbumiqTTnlIH,281160.0,61.0,1982-01-01,0.812,0.798,0.292,0,-17.112,1,0.0777,0.152,0.00101,0.185,98.653
6,6slWUMiyoNNWcQGu6tkTlH,Leni (Crystal Castles vs GoodBooks),https://p.scdn.co/mp3-preview/3250d3dc4f176b12ed3e99a7526c191f4c628212?cid=02b0e243b26741fa8d571a7f61aa4518,0pwItbAKmeSTovWzxzkkbg,256398.0,70.0,2021-11-18,0.55,0.642,0.641,6,-6.619,0,0.0312,0.0627,0.00289,0.0627,119.938
7,28Tmk14BdrfaV2YzxpB35c,Cell Block Tango,https://p.scdn.co/mp3-preview/f5b9a23849ee3b8601fbe4ee90019d851f886420?cid=02b0e243b26741fa8d571a7f61aa4518,0LyfQWJT6nXafLPZqxe9Of,442733.0,59.0,2002-11-08,0.654,0.601,0.34,1,-12.092,1,0.363,0.393,0.0,0.456,125.309
8,7lOvJBqH38ZY59eLU7bioq,all I want is you,https://p.scdn.co/mp3-preview/d80128fa85442ac87a7e21e99a65dac32a1dc5e8?cid=02b0e243b26741fa8d571a7f61aa4518,7GcVOOrldYLwxGrCkELOno,151415.0,77.0,2021-02-09,0.779,0.46,0.999,11,-1.307,1,0.325,0.112,0.0,0.245,145.911
9,0RYHqnmtNRfbYxP6Dn8Vse,masquerade,https://p.scdn.co/mp3-preview/21491d2254b6e9669af8dcc0ec59f2aa576c730c?cid=02b0e243b26741fa8d571a7f61aa4518,0OO76E5lRfeyBI3fkA73Dr,144535.0,76.0,2021-11-11,0.611,0.608,0.792,9,-5.721,1,0.0355,0.000674,0.653,0.252,161.104
